model,horizon,mae,rmse,temperature_true,temperature_pred,feels_like_true,feels_like_pred,humidity_true,humidity_pred,wind_speed_true,wind_speed_pred,gust_speed_true,gust_speed_pred,pressure_true,pressure_pred,precipitation_true,precipitation_pred,rain_probability_true,rain_probability_pred,snow_probability_true,snow_probability_pred,uv_index_true,uv_index_pred,dewpoint_true,dewpoint_pred,visibility_true,visibility_pred,cloud_true,cloud_pred,case
h6_ep50_bs64.pth,6,7.223057746887207,14.33603276109358,26.0,28.973885,28.3,32.178925,77.0,75.8823,5.8,11.812573,5.7,10.643949,1011.0,1008.51605,0.04,0.40210286,45.0,37.733307,0.0,-0.007334355,0.0,4.3631473,21.6,23.93283,10.0,9.710806,58.0,54.67529,weather_test_1
h6_ep50_bs64.pth,6,7.223057746887207,14.33603276109358,25.9,29.139528,28.1,32.395176,77.0,76.200356,6.5,10.757708,6.3,9.792652,1010.0,1009.6041,0.08,0.42362738,45.0,40.39279,0.0,-0.006651305,0.0,4.5093865,21.6,24.102169,10.0,9.698215,52.0,57.428802,weather_test_1
h12_ep50_bs64.pth,12,7.983838558197021,16.47377473156198,26.3,28.325579,28.4,33.089664,73.0,74.28978,11.5,14.0677395,9.5,13.079462,1011.0,1011.7151,0.0,0.50888836,0.0,50.979786,0.0,0.06497787,6.0,7.2889957,21.0,23.409927,10.0,9.143806,100.0,55.497547,weather_test_1
h12_ep50_bs64.pth,12,7.983838558197021,16.47377473156198,26.5,28.188328,28.6,32.97796,71.0,74.21694,9.7,13.10341,8.1,12.454046,1010.0,1006.63354,0.0,0.5451491,45.0,54.091984,0.0,0.085282184,6.0,7.062819,20.9,23.361458,10.0,8.98715,100.0,58.324326,weather_test_1
h12_ep50_bs64.pth,12,7.983838558197021,16.47377473156198,26.7,28.582571,28.8,33.64357,70.0,75.35836,9.7,12.411092,8.1,12.157127,1009.0,1013.2823,0.0,0.61853015,0.0,60.786537,0.0,0.08830155,6.0,7.0227222,20.9,23.854502,10.0,8.973316,100.0,63.989914,weather_test_1
h12_ep50_bs64.pth,12,7.983838558197021,16.47377473156198,26.9,28.864851,29.0,34.13169,70.0,76.05532,10.1,11.79009,8.4,11.85513,1008.0,1017.0945,0.0,0.6771735,0.0,66.1298,0.0,0.08411963,6.0,7.0297995,21.0,24.194921,10.0,8.956334,100.0,68.4044,weather_test_1
h12_ep50_bs64.pth,12,7.983838558197021,16.47377473156198,26.8,28.218342,29.0,32.900646,71.0,74.93432,10.8,13.294941,9.3,12.560614,1007.0,1013.7578,0.0,0.5292551,0.0,52.604168,0.0,0.09811615,6.0,6.828107,21.1,23.40038,10.0,9.026134,97.0,57.623344,weather_test_1
h12_ep50_bs64.pth,12,7.983838558197021,16.47377473156198,26.8,29.084488,29.1,34.47229,71.0,76.764404,8.6,11.3705635,7.6,11.655539,1007.0,1022.06323,0.0,0.71447784,0.0,69.565094,0.0,0.08281372,6.0,6.9528446,21.3,24.449326,10.0,8.961474,99.0,71.4072,weather_test_1
h12_ep50_bs64.pth,12,7.983838558197021,16.47377473156198,26.6,29.010305,28.9,34.36093,74.0,76.65331,6.5,11.458943,6.1,11.705427,1008.0,1020.8311,0.0,0.70724756,0.0,68.68948,0.0,0.08279802,6.0,6.9193773,21.6,24.383696,10.0,8.95434,100.0,70.724884,weather_test_1
h12_ep50_bs64.pth,12,7.983838558197021,16.47377473156198,26.3,27.72036,28.7,31.86951,75.0,75.32575,4.3,14.239303,4.2,13.009644,1008.0,1013.21234,0.0,0.52015126,0.0,49.982754,0.0,0.073005006,0.0,6.4976635,21.6,23.004457,10.0,9.00825,100.0,55.420048,weather_test_1
h12_ep50_bs64.pth,12,7.983838558197021,16.47377473156198,26.3,26.336912,28.7,30.096607,76.0,80.36108,1.8,14.906438,1.8,14.060041,1009.0,1006.07104,0.0,0.41575205,45.0,38.802837,0.0,0.06638371,0.0,1.3218846,21.8,22.895884,10.0,9.031616,72.0,53.258305,weather_test_1
